X,Y,Z
-3.7949877,8.904839,11.031914
-15.831886,-9.401408,0.25807068
-6.53141,2.9825904,21.804762
-0.15840128,4.873691,18.164724
7.3669605,-8.747796,12.058653
-10.603521,-9.731959,10.627611
17.566153,11.771528,-7.231114
-5.4308224,-9.764409,7.5122285
-17.31549,-3.0773516,10.452677
-0.22644535,4.9908047,18.534712
7.3867965,8.314035,14.571124
-12.568013,-13.340896,6.309237
10.301867,-5.599369,4.8956347
8.765272,-14.664524,0.9723963
-10.108353,-11.948947,7.72031
2.5741036,-3.2297573,10.83344
-5.61345,-14.069398,13.568402
-6.6432815,0.920935,-6.1065564
7.5410275,-4.4258733,8.097872
-1.2579918,-16.614922,0.4673164
4.3853693,9.935063,11.206444
8.712315,11.532796,1.0489749
-7.084022,20.237648,0.2918667
7.231123,-0.27959132,16.362494
-6.8134184,-13.126447,-2.5890229
-0.765005,11.743978,-12.727537
5.073565,16.565958,-0.8210089
-6.0845823,7.4320097,7.817239
-10.459417,1.0684108,16.84415
-5.796736,-4.159163,4.141148
1.6757274,-8.695933,0.0029009
12.188861,11.587168,1.772953
4.302718,-7.977187,8.48334
-11.395092,-8.577282,5.890324
-5.323951,-3.6349068,4.2862673
-3.8471153,-6.42993,-3.9898436
9.766439,-4.2030854,8.766179
10.193081,8.867743,9.1966
0.028053772,7.882704,13.337547
3.8772178,20.189043,4.6499786
-6.7250376,-10.143108,12.259784
-16.861158,0.63643306,11.77578
3.4430497,-11.355598,6.997925
-15.804115,11.888199,4.406999
2.899548,-1.4792151,11.012166
-12.944172,-11.762967,-3.617114
-5.595443,-11.895026,13.939718
-9.45348,-15.007636,11.692456
10.498709,-3.5367002,2.6734006
-1.5725209,6.2481093,-7.864809
2.6554248,-16.093357,-1.0846276
2.223953,-3.166385,7.0900855
10.540025,-3.46628,12.55198
2.338871,2.4472926,-13.402546
5.002755,-2.3930686,11.528279
-7.0616646,20.712933,-1.4570872
-10.080246,1.6684457,12.47772
-0.05101922,-8.55815,9.406754
-7.4128766,-14.794474,-10.814692
2.2152352,-15.13504,3.6538856
11.27252,-14.522886,-5.760238
-6.892383,-1.6785849,-10.3769045
14.189995,6.597741,7.7205997
-7.625319,-8.403432,-4.5240226
-1.8551984,5.1317534,9.70923
-2.450238,8.770837,14.257791
-0.6616665,-12.153436,11.545384
-18.150476,-1.7403983,6.881531
8.534298,-0.55362713,15.316016
-1.5774629,-13.957729,-3.788117
5.887206,-3.784832,8.977996
4.4301925,6.6036606,17.06853
-1.7496412,8.579248,-8.28988
-8.609565,-13.113748,8.846687
3.1749125,-2.7862365,1.5037863
-9.976608,-10.862254,-3.8675327
-9.445833,-13.402593,8.726981
13.905588,10.147115,-3.9460738
-2.5947623,12.869175,0.6834989
-4.7848387,6.6866584,-11.242708
7.0354114,-2.793991,15.45732
-8.905498,-3.3196046,12.2439
7.6049953,1.7937869,-2.203694
8.485955,13.373865,-4.597066
10.796812,-1.8757247,11.939077
-6.0005217,22.337395,1.35687
4.592443,-8.032863,14.098432
-14.29347,-1.588707,-2.5789092
-16.59492,-10.867493,6.5413446
-12.281785,13.501354,-0.31029573
4.3462296,-6.6073747,3.1737716
-3.9557664,-0.4438549,7.7648406
3.5710874,11.5998,2.237889
-0.70523983,9.3559885,3.7887084
7.3239985,10.151462,7.240922
13.512205,5.0101194,7.1628203
0.997963,-12.880092,6.8831744
-2.6107998,-19.190071,1.4272271
-4.145374,-2.0859456,9.393265
13.972163,9.391519,-4.780729
8.415256,8.556833,14.648636
-0.48721284,9.861829,18.118704
-8.893999,-7.603894,10.327215
7.9271927,-12.878016,-0.48516053
-3.8404987,3.34199,7.4078617
-12.040602,-16.345997,7.242377
5.5493693,6.32184,16.113829
-2.834674,-2.144791,-13.873322
-5.822379,10.40504,7.0433774
3.4706538,15.909157,4.486565
-7.17146,19.834494,0.5616411
0.4637944,9.078764,7.1379495
7.0864205,6.565382,15.896867
0.41859525,16.287941,7.8304214
-9.619175,-13.475622,9.080328
-16.94276,0.7493349,11.814493
6.1714363,-1.089245,14.655508
17.917751,6.534509,-6.6614494
-16.844893,-1.657718,8.052402
-1.687779,16.877596,14.275519
-2.5123587,14.33344,1.7355465
16.244873,9.570582,4.3519754
11.473688,6.1418242,13.46637
-5.5328574,-4.89126,8.595099
4.0973105,-7.7670517,-7.7861586
